,bill_by,budget,budget_by,budget_is_monthly,client.currency,client.id,client.name,code,cost_budget,cost_budget_include_expenses,created_at,ends_on,fee,hourly_rate,id,is_active,is_billable,is_fixed_fee,name,notes,notify_when_over_budget,over_budget_notification_date,over_budget_notification_percentage,show_budget_to_all,starts_on,updated_at
24,none,,none,False,GBP,7236211,Hut 23,,,False,2019-01-30T11:44:51Z,,,,19964397,True,True,False,Proposals and strategy,,False,,80.0,False,,2019-01-30T11:44:51Z
25,none,,none,False,GBP,7236234,Research Support,,,False,2019-01-30T11:43:03Z,,,,19964384,True,True,False,Support,,False,,80.0,False,,2019-01-30T11:43:03Z
26,none,,none,False,GBP,7738175,Leeds,,,False,2019-01-30T10:58:47Z,,,,19964019,True,True,False,Leeds TF Projects,,False,,80.0,False,,2019-01-30T10:58:47Z
27,none,,none,False,GBP,7394384,Data-centric engineering,,,False,2019-01-28T09:32:53Z,,,,19930508,True,True,False,Clean Air,,False,,80.0,False,,2019-01-28T09:32:53Z
28,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-01-18T13:09:01Z,,,,19829138,True,True,False,UQBB,,False,,80.0,False,,2019-01-18T13:09:01Z
29,none,,none,False,GBP,7236211,Hut 23,,,False,2019-01-17T18:47:10Z,,,,19819550,True,True,False,44 days,,False,,80.0,False,,2019-01-17T18:47:10Z
30,none,1670.0,project,False,GBP,7515887,Alan Turing Institute,,,False,2019-01-15T16:09:07Z,2019-12-31,,,19786410,True,True,False,DS for Sustainable Development,"Turing Fellow Project - Gavin Shaddick (Exeter)
Dynamics code HWB/10004",False,,80.0,False,2019-01-01,2019-02-06T18:23:01Z
31,none,,none,False,GBP,7394383,Finance and economics,,,False,2018-12-21T16:59:09Z,,,,19557380,True,True,False,Knowledge Flows,,False,,80.0,False,,2018-12-21T16:59:09Z
32,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2018-12-13T15:30:34Z,,,,19471496,True,True,False,UQM^3,,False,,80.0,False,,2018-12-13T15:30:34Z
33,none,293.0,project,False,GBP,7444895,SPF,,,False,2018-12-12T16:09:33Z,2019-04-30,,,19459531,True,True,True,ALOGIT Python,,False,,80.0,False,2018-12-01,2019-02-06T11:46:56Z
34,none,586.0,project,False,GBP,7343534,Seed,,,False,2018-12-05T10:35:10Z,2019-11-30,,,19378642,True,True,True,Bayesian Performance Tuning,,False,,80.0,False,2019-02-01,2019-02-06T11:06:48Z
